TIMESTAMP;FILE NAME;ARGS;
30/06/2021 16:47:12;dataset_b79c5e580ad10b18e4a33ad75c1bb1c9e8f69405f86007fbf44aa1d3b4c54830.jld;((1, false, "o_None", "TestOpGeq"), "Pavia");
30/06/2021 16:49:43;dataset_1edf22ca2f18eceb808f7476d737f26b296128697d00b13c7c98e49c0d3dc214.jld;((3, :flattened, "o_None", "TestOpGeq"), "Pavia");
30/06/2021 17:07:28;dataset_60efcc08c286d739eb33f0831f9ce2f51143398f3b52dc878e20c38e01ceb10d.jld;((3, :averaged, "o_None", "TestOpGeq"), "Pavia");
30/06/2021 17:09:28;dataset_35b19a96aaf7b809ece93967eac8a5f8fb65fc73bcbf06ea69d1cf446b50c6e4.jld;((3, false, "o_RCC8", "TestOpAll"), "Pavia");
01/07/2021 03:12:15;dataset_1240d3393c1d19b85acbebc354b947a2103bb3673c6a5833287210069177504b.jld;((3, false, "o_RCC5", "TestOpAll"), "Pavia");
01/07/2021 15:48:01;dataset_66a03ed79eadf88c562f2b27d90f7c6e45b2a98b23a11407434e5f5609dcfd3c.jld;((1, false, "o_None", "TestOpGeq"), "Salinas-A");
01/07/2021 15:48:58;dataset_dd21ca9766defffd4a1241f3133912c1277104edf483f75f4ef0633b1f64705e.jld;((3, :flattened, "o_None", "TestOpGeq"), "Salinas-A");
01/07/2021 15:55:18;dataset_6e8af3c94364519895735f720481d0f2efa7b646feae8296ea040306b0b94436.jld;((3, :averaged, "o_None", "TestOpGeq"), "Salinas-A");
01/07/2021 15:56:41;dataset_817547e6c33aa40f8b05461cfc23a3ddf8dcb0de9d2931bed9cf91e26455c270.jld;((3, false, "o_RCC8", "TestOpAll"), "Salinas-A");
02/07/2021 03:11:11;dataset_060e7f57d191c313a182a968bf329e0b696b946db9f523bf4aa3f7061588b8b5.jld;((3, false, "o_RCC5", "TestOpAll"), "Salinas-A");
02/07/2021 09:55:50;dataset_79968716866cab71fcd9dc42d3419f84df095681457a71055ddb0ce6896862a8.jld;((1, false, "o_None", "TestOpGeq"), "PaviaCentre");
02/07/2021 09:58:02;dataset_5d389334c8c2ccf1e8c54a995cb5f24426cb3f5798122138b4aa3eec819713c4.jld;((3, :flattened, "o_None", "TestOpGeq"), "PaviaCentre");
02/07/2021 10:13:37;dataset_805a7c9b59d919b5b20b9e1776139e48be7984cdd15a6000c44036359c3a6b28.jld;((3, :averaged, "o_None", "TestOpGeq"), "PaviaCentre");
02/07/2021 10:15:27;dataset_43c3d32827f363fc9230b52ed41550328fee3744f30b3cf6bca7edb851004f4f.jld;((1, false, "o_None", "TestOpGeq"), "IndianPines");
02/07/2021 10:19:27;dataset_c1b97a7d06384db5ce57b11f4b2b2b698ee8b09bc9bcda6996eef24b493474b6.jld;((3, :flattened, "o_None", "TestOpGeq"), "IndianPines");
02/07/2021 10:48:10;dataset_24410744acaf45a38ad266ff6b887bbcf8867a0180d9a550e17bebaa7d6209d7.jld;((3, :averaged, "o_None", "TestOpGeq"), "IndianPines");
02/07/2021 10:54:10;dataset_29fd11771c1687c80cf1bf62321e531e71da0e350f620f2c7dcff972cea956a9.jld;((1, false, "o_None", "TestOpGeq"), "Salinas");
02/07/2021 10:58:39;dataset_7778cc61d3e9adea064ba8ce913c4cfb2fa0fc610c1626bb2c4c39a9042c8e88.jld;((3, :flattened, "o_None", "TestOpGeq"), "Salinas");
02/07/2021 11:22:10;dataset_6b325a3fc8ac084e08e75e142c870d74feb687349e2dccf055af9efc15ec849d.jld;((3, :averaged, "o_None", "TestOpGeq"), "Salinas");
02/07/2021 15:07:21;dataset_ca345bab97586b2b4a275e0b0d8c99ac6ead0650b06888c32ac7c8c2aec7d803.jld;((3, false, "o_RCC8", "TestOpAll"), "IndianPines");
03/07/2021 09:15:44;dataset_0e16c6c4c6e742bdfc7608b4fc31d2a85315c208e58ba62043c5ff72d8fe9d20.jld;((3, false, "o_RCC5", "TestOpAll"), "IndianPines");
04/07/2021 09:44:50;dataset_ff5cefb73a73dc595c692d970ff9bb9791e2eb5417efd35a5963f2076ef3e215.jld;((3, false, "o_RCC8", "TestOpAll"), "PaviaCentre");
04/07/2021 19:22:35;dataset_709d2858216c5783724976386eee3dc6294dafd99d5ae23f10f843ea8d47e8f7.jld;((3, false, "o_RCC5", "TestOpAll"), "PaviaCentre");
05/07/2021 07:45:06;dataset_bf9406094cd0381953abd4953dce01d81e18a2cece310a98f4ecb6627fce94d2.jld;((3, false, "o_RCC8", "TestOpAll"), "Salinas");
06/07/2021 06:53:20;dataset_59ee58d2067fdc2332ed1e86531466658391cb67bc2e4d536fc59e556ffaa20b.jld;((3, false, "o_RCC5", "TestOpAll"), "Salinas");
