TIMESTAMP	FILE NAME	COMP TIME	ARGS	
03/10/2021 04:22:59	dataset_61e28eb313a67b6e14f7a6fd68376805e9f3259f98f64bd9429d1c18fc8e20a5.jld	00:00:28	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 45, ma_step = 30), Function[noise_gate!, normalize!, remove_long_silences!], false, false, 8000, "KDD-partitioned")	
03/10/2021 05:35:23	dataset_a53cb58a96851c12922be870b30cef8fd5859c87e2c77af00c7cd80b32584b90.jld	00:00:09	(1, false, "b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 45, ma_step = 30), Function[normalize!, remove_long_silences!], false, false, 8000, "KDD-partitioned")	
03/10/2021 20:10:20	dataset_ac0a765a1e40609d33cd0d58d92051078a3c24b9f12ffa48d31086b72ddc364d.jld	00:00:12	(2, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 45, ma_step = 30), Function[noise_gate!, normalize!, remove_long_silences!], false, false, 8000, "KDD-partitioned")	
03/10/2021 20:30:43	dataset_e8cfee4e0b064b779ad156d8e6a0fbcfabe4e13ee4696197d4fea370e44c8141.jld	00:00:12	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 45, ma_step = 30), Function[normalize!, remove_long_silences!], false, false, 8000, "KDD-partitioned")	
03/10/2021 22:45:29	dataset_ce79d6c8e4043a6226d68a40bc09a8a22b1cf067d92bcca464125468517abaf6.jld	00:00:05	(3, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 45, ma_step = 30), Function[noise_gate!, normalize!, remove_long_silences!], false, false, 8000, "KDD-partitioned")	
03/10/2021 23:01:15	dataset_bf3e81892b1e37b58e0bafcb7e8680a873db8604c2e39ac137431412130efbb6.jld	00:00:05	(3, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 45, ma_step = 30), Function[normalize!, remove_long_silences!], false, false, 8000, "KDD-partitioned")	
04/10/2021 03:12:18	dataset_c73b402f52537689f9c298f321e516fab3eda4a6649fb57fdec696b69d801e51.jld	00:00:08	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), Function[noise_gate!, normalize!, remove_long_silences!], false, false, 8000, "KDD-partitioned")	
04/10/2021 03:26:23	dataset_c83a54d03493c03e3783e03fef10f0dd1bc1bba4e3a556c8ca5683c61f19aed5.jld	00:00:10	(1, false, "b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), Function[normalize!, remove_long_silences!], false, false, 8000, "KDD-partitioned")	
04/10/2021 06:58:35	dataset_f791658036cebb43aa681963a2646b8013bd16353310b2fead0cb07215a2d91d.jld	00:00:10	(2, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), Function[noise_gate!, normalize!, remove_long_silences!], false, false, 8000, "KDD-partitioned")	
04/10/2021 07:02:15	dataset_80f9d09cb892fcca25da69e372e419da2572e783a3d4824540b01a09fe3524cd.jld	00:00:11	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), Function[normalize!, remove_long_silences!], false, false, 8000, "KDD-partitioned")	
04/10/2021 07:39:53	dataset_eb6b9c7b09cddd7e6724e99d14be3a047dfb8bc77ce3dbb4af65d77d73991db6.jld	00:00:04	(3, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), Function[noise_gate!, normalize!, remove_long_silences!], false, false, 8000, "KDD-partitioned")	
04/10/2021 10:40:16	dataset_2a4c24cbf5a28ea2bfd45d70814bf8b8df599fc820d789566df1fe67491efc5a.jld	00:00:27	(3, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), Function[normalize!, remove_long_silences!], false, false, 8000, "KDD-partitioned")	
