TIMESTAMP	FILE NAME	COMP TIME	ARGS	
17/11/2021 12:44:13	dataset_cf6a159e3f1ed755c53076bb2f74fa440841678f97310f878d324eca9136a7a5.jld	00:01:32	("Siemens-Data-Features", (1.0 => "High-Risk", 3.0 => "Risky", Inf => "Low-Risk"), 0, (ma_size = 4, ma_step = 4))	
17/11/2021 19:25:28	dataset_1d3d1d163dd204eeae09769582c07d042800bbbdfdbe8684f3d74e6e72ea9e18.jld	00:00:01	("Siemens-Data-Measures", (1.0 => "High-Risk", 3.0 => "Risky", Inf => "Low-Risk"), 0, (ma_size = 4, ma_step = 4))	
18/11/2021 01:21:15	dataset_35ff8fa0ff55ba5d111650aeb01eb10ce262ce265ad93c0eaea77889589c1425.jld	00:00:01	("Siemens-Data-Features", (4.0 => "High-Risk", 8.0 => "Risky", Inf => "Low-Risk"), 0, (ma_size = 4, ma_step = 4))	
18/11/2021 22:18:54	dataset_13c6a4120ce7020758823c8d8d406f231ccb9be20ef688677aa3dd8abf0cd715.jld	00:00:01	("Siemens-Data-Measures", (4.0 => "High-Risk", 8.0 => "Risky", Inf => "Low-Risk"), 0, (ma_size = 4, ma_step = 4))	
19/11/2021 16:04:34	dataset_d0bcb316ec97d45a42aefa6934b6052a7fe131257c4a8baad697a9d6bcbd155b.jld	00:00:01	("Siemens-Data-Features", (1.0 => "High-Risk", 3.0 => "Risky", Inf => "Low-Risk"), 120, (ma_size = 4, ma_step = 4))	
19/11/2021 20:25:39	dataset_72d6eb9ae09671040d3f6c328b866451b7f10f259e4dba3d47f657dc49ed831b.jld	00:00:00	("Siemens-Data-Measures", (1.0 => "High-Risk", 3.0 => "Risky", Inf => "Low-Risk"), 120, (ma_size = 4, ma_step = 4))	
20/11/2021 00:24:38	dataset_cc67ff73822a7b01aa1f35d87f7d2e5ae9d32996759eca4d43a4a1f32afb3e2d.jld	00:00:01	("Siemens-Data-Features", (4.0 => "High-Risk", 8.0 => "Risky", Inf => "Low-Risk"), 120, (ma_size = 4, ma_step = 4))	
20/11/2021 15:55:29	dataset_6830456a0efda11e40b1f73f855a898e7202f0e3aae37fe2116987b2cc00a1a0.jld	00:00:00	("Siemens-Data-Measures", (4.0 => "High-Risk", 8.0 => "Risky", Inf => "Low-Risk"), 120, (ma_size = 4, ma_step = 4))	
21/11/2021 05:46:13	dataset_f3105589bb74166ba68961340f9e1a2b43c921b7ad4c0929c77f66c6201c486a.jld	00:00:01	("Siemens-Data-Features", (1.0 => "High-Risk", 3.0 => "Risky", Inf => "Low-Risk"), 0, (ma_size = 3, ma_step = 3))	
21/11/2021 17:12:46	dataset_aefa748e06a08509cebd35d57c69720e573088154463953df34599cd3dfa3b17.jld	00:00:01	("Siemens-Data-Measures", (1.0 => "High-Risk", 3.0 => "Risky", Inf => "Low-Risk"), 0, (ma_size = 3, ma_step = 3))	
22/11/2021 06:11:30	dataset_ab21675d33776ce18ad32bd7c7a04e24002d35cdc9274e9c02fff7837cec764b.jld	00:01:32	("Siemens-Data-Measures", (4.0 => "High-Risk", 8.0 => "Risky", Inf => "Low-Risk"), 0, (ma_size = 3, ma_step = 3))	
