Dataseed	datadirname	use_training_form	binning	ignore_last_minutes	moving_average	regression_window_in_minutes	regression_step_in_minutes	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,1,0.01,0.4)train_accuracy	T(entropy,1,0.01,0.4)K	T(entropy,1,0.01,0.4)accuracy	T(entropy,1,0.01,0.4)macro_sensitivity	T(entropy,1,0.01,0.4)safe_macro_sensitivity	T(entropy,1,0.01,0.4)safe_macro_specificity	T(entropy,1,0.01,0.4)safe_macro_PPV	T(entropy,1,0.01,0.4)safe_macro_NPV	T(entropy,1,0.01,0.4)safe_macro_F1	T(entropy,1,0.01,0.4)n_nodes	T(entropy,1,0.01,0.4)n_leaves	T(entropy,1,0.01,0.4)height	T(entropy,1,0.01,0.4)modal_height	T(entropy,1,0.01,0.4)t	T(entropy,1,0.01,0.4)hash	T(entropy,1,0.01,0.6)train_accuracy	T(entropy,1,0.01,0.6)K	T(entropy,1,0.01,0.6)accuracy	T(entropy,1,0.01,0.6)macro_sensitivity	T(entropy,1,0.01,0.6)safe_macro_sensitivity	T(entropy,1,0.01,0.6)safe_macro_specificity	T(entropy,1,0.01,0.6)safe_macro_PPV	T(entropy,1,0.01,0.6)safe_macro_NPV	T(entropy,1,0.01,0.6)safe_macro_F1	T(entropy,1,0.01,0.6)n_nodes	T(entropy,1,0.01,0.6)n_leaves	T(entropy,1,0.01,0.6)height	T(entropy,1,0.01,0.6)modal_height	T(entropy,1,0.01,0.6)t	T(entropy,1,0.01,0.6)hash	T(entropy,1,0.001,0.4)train_accuracy	T(entropy,1,0.001,0.4)K	T(entropy,1,0.001,0.4)accuracy	T(entropy,1,0.001,0.4)macro_sensitivity	T(entropy,1,0.001,0.4)safe_macro_sensitivity	T(entropy,1,0.001,0.4)safe_macro_specificity	T(entropy,1,0.001,0.4)safe_macro_PPV	T(entropy,1,0.001,0.4)safe_macro_NPV	T(entropy,1,0.001,0.4)safe_macro_F1	T(entropy,1,0.001,0.4)n_nodes	T(entropy,1,0.001,0.4)n_leaves	T(entropy,1,0.001,0.4)height	T(entropy,1,0.001,0.4)modal_height	T(entropy,1,0.001,0.4)t	T(entropy,1,0.001,0.4)hash	T(entropy,1,0.001,0.6)train_accuracy	T(entropy,1,0.001,0.6)K	T(entropy,1,0.001,0.6)accuracy	T(entropy,1,0.001,0.6)macro_sensitivity	T(entropy,1,0.001,0.6)safe_macro_sensitivity	T(entropy,1,0.001,0.6)safe_macro_specificity	T(entropy,1,0.001,0.6)safe_macro_PPV	T(entropy,1,0.001,0.6)safe_macro_NPV	T(entropy,1,0.001,0.6)safe_macro_F1	T(entropy,1,0.001,0.6)n_nodes	T(entropy,1,0.001,0.6)n_leaves	T(entropy,1,0.001,0.6)height	T(entropy,1,0.001,0.6)modal_height	T(entropy,1,0.001,0.6)t	T(entropy,1,0.001,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_trees	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_trees	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	RF(0.7,100,half,all)train_accuracy	RF(0.7,100,half,all)K	RF(0.7,100,half,all)accuracy	RF(0.7,100,half,all)macro_sensitivity	RF(0.7,100,half,all)safe_macro_sensitivity	RF(0.7,100,half,all)safe_macro_specificity	RF(0.7,100,half,all)safe_macro_PPV	RF(0.7,100,half,all)safe_macro_NPV	RF(0.7,100,half,all)safe_macro_F1	RF(0.7,100,half,all)oob_error	RF(0.7,100,half,all)n_trees	RF(0.7,100,half,all)n_nodes	RF(0.7,100,half,all)σ² train_accuracy	RF(0.7,100,half,all)σ² K	RF(0.7,100,half,all)σ² accuracy	RF(0.7,100,half,all)σ² macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_specificity	RF(0.7,100,half,all)σ² safe_macro_PPV	RF(0.7,100,half,all)σ² safe_macro_NPV	RF(0.7,100,half,all)σ² safe_macro_F1	RF(0.7,100,half,all)σ² oob_error	RF(0.7,100,half,all)σ² n_trees	RF(0.7,100,half,all)σ² n_nodes	RF(0.7,100,half,all)t	RF(0.7,100,half,all)hash	
6	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(15,)]	97.59	8.45	45.99	48.48	48.48	74.27	38.25	69.27	32.01	145	73	17	14	141.128	d688f4de1471b3c079887ee51d995e81723cd5da16c974bbc3513b4d3dbee5f3	90.36	8.64	48.14	47.82	47.82	74.34	38.08	69.3	32.6	99	50	15	13	120.103	bdd157feb75eef7021043a1daafa761c21aeba7bb3e7c29a8452d5d6015edf9d	97.59	8.45	45.99	48.48	48.48	74.27	38.25	69.27	32.01	145	73	17	14	125.748	d688f4de1471b3c079887ee51d995e81723cd5da16c974bbc3513b4d3dbee5f3	90.36	8.64	48.14	47.82	47.82	74.34	38.08	69.3	32.6	99	50	15	13	124.838	bdd157feb75eef7021043a1daafa761c21aeba7bb3e7c29a8452d5d6015edf9d	99.88	15.0	58.37	51.99	51.99	79.56	40.76	71.13	38.33	0.0	5000.0	531040.0	0.0	0.02	0.04	0.03	0.03	0.02	0.0	0.0	0.02	0.0	0.0	32680.0	0.0	("800e67351146932d5c954a3d9a2f53c55497b5d696c9aa0fe3d33fea65658bca", "3592a972ebeae18942aa8d3e78dcb5d2fd608f6d6cdfe5ecea338008ebc132a3", "9873ef6c50e1034271bfa8c6233b816323a6428f1973d709eeca8e39227973c5", "f714543d5bbf75ada8d658464f433df00cef2490f582a9e5a031bf35447fa06d", "a8dadab70058a940daf9dcca7cdf2e14666accc472fc52d97f330a4787ca0f28")	100.0	15.34	58.71	53.3	53.3	79.4	41.13	71.18	38.98	40.28	10000.0	1.06492e6	0.0	0.01	0.01	0.07	0.07	0.02	0.01	0.0	0.0	0.0	0.0	208920.0	5281.101	("150a61e26a2ae880754f3fe4654bf8d6ce35d092dd2986d4b981cc25ecd2a132", "ec3c7f46c8c90c7492c5fc5581039fa41a609f9dc6effe9f2b89aa6dac993f2e", "794ba1880ee9310e6b68b36edf4d87b279774b1d4eaa34f67f548fd536bbc627", "1cd2fbfb48e3cd5846de1b92003ff7c4f2b2dd721a8308e67d16d8a422c28979", "97f559ef2cbad80851eb3e53c83b87721b73081e2bb2c39caf69ffb97538d3ab")	
7	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(15,)]	97.19	8.51	51.72	46.22	46.22	73.88	37.78	69.19	33.59	147	74	16	13	195.459	ff3d3d73301ff1ecd1594e053b0c6a3c35f7cd2418efacebdf2a12a3ffb26949	89.56	8.85	51.15	47.48	47.48	74.02	38.07	69.28	33.77	103	52	16	13	173.236	bcbf406c7ab29ab036045e8b4e63169e63b61e77b5a0acfdeb53729b6fb4a6b7	97.19	8.51	51.72	46.22	46.22	73.88	37.78	69.19	33.59	147	74	16	13	171.455	ff3d3d73301ff1ecd1594e053b0c6a3c35f7cd2418efacebdf2a12a3ffb26949	89.56	8.85	51.15	47.48	47.48	74.02	38.07	69.28	33.77	103	52	16	13	167.427	bcbf406c7ab29ab036045e8b4e63169e63b61e77b5a0acfdeb53729b6fb4a6b7	99.84	17.92	60.34	57.91	57.91	80.68	42.43	71.85	41.06	0.0	5000.0	538720.0	0.0	0.02	0.02	0.04	0.04	0.02	0.01	0.0	0.01	0.0	0.0	46720.0	0.0	("1a11a91d9d877ad1bd97ed9e2b1b5cae1cde242032bf21a3deeb92024e30fd82", "48a5f3922e23b5f8a835d34c487f2fc94c12d9416a9d7f5cdae58628e4f97a18", "a4c8887aaecfef05601105362586e764a6124f3d02b3dfebfe09a37f5711df97", "040ba69babf684e3434ef5a35c2de2babda29b55b7a78da51e6d7c1d16505558", "78ea25f70f533247a2db4f27eec2c7cb7300f1228e35601588e37e98716c2748")	100.0	18.85	61.69	59.31	59.31	80.67	42.83	72.03	42.08	43.53	10000.0	1.078e6	0.0	0.03	0.04	0.02	0.02	0.02	0.01	0.0	0.02	0.01	0.0	215000.0	5465.358	("891fe212dc6f119bf0534e1d842500079f452ee5bd9b1f7dc64c57d71d837451", "d5567df1fb430dccac4eced49d4a7291c2abc84b174231711f3a0502641f46c4", "d99c384e362f7222a9b10ebe5887405e53b7e681153a892ce2f038ae8f257418", "2bfe928e7b68fe7e20be8d3932379b9eba0030e8c1f704d6b771e552b1ffe587", "89d96fcb808c149db56d8acb2312a77feb13df4d222a9ee892f55e7184821a81")	
8	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(15,)]	97.59	12.82	55.73	50.69	50.69	77.72	39.75	70.48	36.62	135	68	13	11	133.897	69b62173851582aeb208430615033e4f96690aeedc3d23dd832f0ff7ba3acaa6	89.16	13.88	56.88	52.61	52.61	78.13	40.33	70.77	37.58	95	48	13	11	119.043	48a9698410855b81a9d66e761aa8235723a77e8033fc95b31029e350df631dcb	97.59	12.82	55.73	50.69	50.69	77.72	39.75	70.48	36.62	135	68	13	11	120.845	69b62173851582aeb208430615033e4f96690aeedc3d23dd832f0ff7ba3acaa6	89.16	13.88	56.88	52.61	52.61	78.13	40.33	70.77	37.58	95	48	13	11	119.004	48a9698410855b81a9d66e761aa8235723a77e8033fc95b31029e350df631dcb	99.96	16.49	62.66	53.76	53.76	78.8	41.87	71.38	41.13	0.0	5000.0	524200.0	0.0	0.02	0.03	0.08	0.08	0.0	0.01	0.0	0.03	0.0	0.0	132600.0	0.0	("8c51744d75b5a6c5acdc73a1afa1d80a960ea7ffa951332b20f52ae7c7eaeb7e", "e416084af70b77cf5951e86d7f333c98872327e8e969222c5524973c535d6192", "728e5d6a6a44794960812d86a5ca1a9450e01359952aa062f127a612ae53b98a", "c04208a7659cd1b3244faef9b8f6e42886e0a77e8eec5bf8696098dd07b6437f", "e7630edb4b1596fc00976512fe72b4c4431c9d3b200ec3719878bd201bbaf92d")	100.0	17.14	64.04	53.55	53.55	79.08	41.97	71.58	41.58	38.03	10000.0	1.05572e6	0.0	0.02	0.03	0.03	0.03	0.0	0.0	0.0	0.02	0.01	0.0	406920.0	5103.292	("84ceabdfc92f68f0668adb9b64832c682e3644757934979186a8e80c67c96c19", "0e191ceb8c93600de16272ab22819a47e59a2226b3ae767c3a3eab3e705c2776", "d81df6d54849ce35cd0c8bc29d950d3aa4f1215718ba84c644d604c84f4acc30", "d217010bcd6f2815e984b451e31bcb14865ca8162ded06702da4429872a6d569", "88496eb835d0cf5ec489dd5d6016cc871f6a643a11d9941acfe8331b278bdcb5")	
9	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(15,)]	98.59	13.86	56.16	52.33	52.33	78.57	40.21	70.79	37.22	155	78	16	14	143.396	2b5e409a0338440f0ad46e09bad05a723d6e0a4379114fde5fdece4c1d9b43a8	92.37	14.96	57.02	54.14	54.14	79.22	40.83	71.08	38.22	113	57	14	12	128.077	1fbf7881c2a18a67ecb01a21b63274b9960d67be964efd8b8fabb508901ecf6b	98.59	13.86	56.16	52.33	52.33	78.57	40.21	70.79	37.22	155	78	16	14	128.893	2b5e409a0338440f0ad46e09bad05a723d6e0a4379114fde5fdece4c1d9b43a8	92.37	14.96	57.02	54.14	54.14	79.22	40.83	71.08	38.22	113	57	14	12	128.163	1fbf7881c2a18a67ecb01a21b63274b9960d67be964efd8b8fabb508901ecf6b	100.0	24.19	66.7	64.76	64.76	83.21	45.31	73.42	46.38	0.0	5000.0	535880.0	0.0	0.04	0.03	0.07	0.07	0.01	0.01	0.0	0.03	0.0	0.0	66720.0	0.0	("0c9e87ecc3810415346cc5f3ab672d715bad8a19824bade7fe708e2b79a9e2e7", "ea826325b540e6ebfdae8fdc440b076c5582cc9a5f812cb377235c155c403fd4", "d1cd5a03d1cfb395aae4813d660fe9ac3810adc254093075a6dfe192fc226086", "9064e5c08703e3f2000f22e64cb5317ee7f5fa0f3fa83e20a4ff93d591805353", "dbdc725d48dfbd81d3dc00b7623ff8e238cc6e3b315e4ed3cca1bf8846b95cd0")	100.0	25.36	67.48	65.64	65.64	84.11	45.72	73.78	46.99	39.96	10000.0	1.07044e6	0.0	0.0	0.01	0.04	0.04	0.01	0.0	0.0	0.0	0.0	0.0	143880.0	5756.655	("0371ec9232c3158476c7cd8ba779a4b7dc6ba7d00d8616e3c39fd069f0197729", "ee09b2fb665a30641bc9bd0af4cbf44896fea4c76d028b45fadfdc6b6b100fc4", "13bba472117c559e62a4635a47c397c3d6d02c06def57d3c8e7fb0d41cafb950", "7db5402665e1c8e2bbc7b20e8168e6d847a6c931757e33e61e3886747f0e644e", "fd9bd8ab84fc3a7b54bc3dcde4180f4a5ab678cc53ba8cde794896f946b86178")	
10	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(15,)]	96.18	15.42	57.45	54.3	54.3	79.72	41.08	71.23	38.55	137	69	15	12	212.761	4b8b42abaa78380c90a39c206d6c0b32440a4925d5abb09af9bfb630dbeb9979	87.95	15.67	60.74	54.07	54.07	78.46	41.04	71.16	39.83	95	48	14	12	211.47	b2a8b2f1ca30b7ec5d2ad7e64f52bf6fa008e984a6cd8878f93fe62ec730b04a	96.18	15.42	57.45	54.3	54.3	79.72	41.08	71.23	38.55	137	69	15	12	211.579	4b8b42abaa78380c90a39c206d6c0b32440a4925d5abb09af9bfb630dbeb9979	87.95	15.67	60.74	54.07	54.07	78.46	41.04	71.16	39.83	95	48	14	12	210.099	b2a8b2f1ca30b7ec5d2ad7e64f52bf6fa008e984a6cd8878f93fe62ec730b04a	99.92	21.01	63.47	61.61	61.61	82.06	44.04	72.62	43.91	0.0	5000.0	529360.0	0.0	0.07	0.02	0.11	0.11	0.05	0.01	0.01	0.03	0.0	0.0	104480.0	0.0	("602c6faeb7b0a1804b4ccb272a962aee4e5c70becea685c3d969315c85a51204", "e22ab139012b9901e6e18c8955544d127e89ba2b8d4b7752ca5d844af6f972ba", "c7224ab51d8a2f2a4d0687c47ebe093495955a7d402949757c041f443491ac20", "411ece2cef1bdc92f5c103fcaf43595e1b5ad1cea74c0f8af62498253c106cb7", "43e040bee4b1578544701ee7f929c1cf314919bbe7daec7b17f5cf2fd92b4ac6")	100.0	21.7	65.01	62.2	62.2	81.71	44.45	72.72	44.97	42.13	10000.0	1.06132e6	0.0	0.03	0.02	0.05	0.05	0.01	0.01	0.0	0.02	0.01	0.0	24720.0	5567.102	("7d99797278c671b7c417e5dadf071a499a83a8dc68a7fc6037fba0dacf237674", "9b7fe233c70189750430da76465c4ae1b1398968d825c498b921912416e33264", "fbdccf1316437528f008f7d1c53dc7e6d4470337559510e6ff2e6eca89f241cf", "af1b3eb7b7479d1e61783fd24034679e9f60c8154685afdd35d97655ad931b4d", "2abec1ce2e958ed634cbd90877767d90f4bc38847705a1e011e1da3e61112713")	
1	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(20,)]	96.75	0.81	39.42	38.02	38.02	67.86	33.83	66.92	23.09	45	23	6	4	56.565	a6daff87cb7244146d570bee259dbb1fb2951708804d2f2851084104bbda64d7	90.24	0.72	33.74	37.97	37.97	67.54	33.82	66.91	21.0	35	18	6	4	7.414	4e8324b3a038d7a7f5061ae2b8b5f6e803701281687fa5b7bd4830dd81ef56d1	96.75	0.81	39.42	38.02	38.02	67.86	33.83	66.92	23.09	45	23	6	4	8.79	a6daff87cb7244146d570bee259dbb1fb2951708804d2f2851084104bbda64d7	90.24	0.72	33.74	37.97	37.97	67.54	33.82	66.91	21.0	35	18	6	4	7.389	4e8324b3a038d7a7f5061ae2b8b5f6e803701281687fa5b7bd4830dd81ef56d1	99.67	4.49	44.79	46.98	46.98	74.09	35.68	68.09	26.43	0.0	5000.0	152840.0	0.0	0.01	0.13	0.11	0.11	0.01	0.0	0.0	0.03	0.0	0.0	55480.0	0.0	("ac5bc1f7672e8079cd4edcb5aa76b11de7e6d3be766435d465a34866a1a24993", "969ffb6ba17acee33a5680076e9e985e3f11dc862849969bbcd278bbf8b83c1b", "4663a554b66beee54e9565b189465c4ad4262e1e4388741aaa42e04a13b0e0c8", "85714f3ec07d4e5973946cc2c08de45727bbe66f9d82984fee1584516b84adc7", "e68b2fe6e2a209f702d794970d4a68865a1360ea44cb7b6a0d78d46fb64cf3c9")	99.84	3.93	44.98	43.45	43.45	73.4	35.31	67.92	26.08	56.1	10000.0	306000.0	0.0	0.01	0.08	0.05	0.05	0.01	0.0	0.0	0.01	0.04	0.0	142400.0	1154.967	("21551a209dc0e416fb56bea4db37f0208ba9ceb366a57820860d1a4dff37ce57", "02e7f54ee9c3afd58eee881959bf5114fdfe206ef9472a3053dbae1c65b375d1", "2c6d168ca169c31fa5f831e20fcb41b8b4ac85f0686233a32b99f3a233ed8708", "65ed20d743f431031feee8d4bc924d125a49caf543ad57d0bffa59d0be13ca8a", "38ccf90a7eb5fe4e2ac394cb2e8ed733165e43686a2361bb8373fb90d15fba95")	
2	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(20,)]	95.93	1.6	37.09	42.64	42.64	69.34	34.38	67.19	22.65	41	21	8	5	135.494	b308a6044aad0726a8f19c6044c9c13d5cbcd586dae750f8dad871e8990d25df	90.24	1.59	37.28	43.2	43.2	69.37	34.42	67.19	22.78	31	16	8	5	45.214	e8672e797fd8bf7ac6ca2363116d12ea7792a1328e91852d7486f0d4545cd3ff	95.93	1.6	37.09	42.64	42.64	69.34	34.38	67.19	22.65	41	21	8	5	46.067	b308a6044aad0726a8f19c6044c9c13d5cbcd586dae750f8dad871e8990d25df	90.24	1.59	37.28	43.2	43.2	69.37	34.42	67.19	22.78	31	16	8	5	44.059	e8672e797fd8bf7ac6ca2363116d12ea7792a1328e91852d7486f0d4545cd3ff	99.67	2.93	48.57	47.66	47.66	70.54	34.98	67.52	27.53	0.0	5000.0	148440.0	0.0	0.0	0.06	0.14	0.14	0.01	0.0	0.0	0.01	0.0	0.0	36080.0	0.0	("083baa97c9c5e3795822900a3cfff4ec259d5cde162d2d84ebba62de51a4ef42", "2d75b1e56bee5d207bc9bd1052cfc3c45a305a4a580f78e9aab5b649f02623d3", "9a7a21654536e2571ef3569b1be0ba78b1c4a3bb1e31fe7528646613d21b73f3", "91d302ea13dc6ae16f6f29ff15d644e0ae650183be91cc20fa4bfbe5010c4430", "751e93c25887205dc829f380999f37483390bc6e502a1f945b964d2f65367e37")	100.0	2.71	49.04	47.23	47.23	70.29	34.9	67.45	27.62	54.31	10000.0	297240.0	0.0	0.01	0.07	0.18	0.18	0.02	0.0	0.0	0.02	0.04	0.0	72680.0	1085.326	("9f1e4033224446a2010a6fba89d5e37bb5a7ff95e7d5e3656d9fce2a6db4de94", "34c4665f604155db9e614ad329728d7e620f3e4f635910f4d36e061898831af9", "47b0929b5b88da5d1b4def451abe4e26e73f282441b6def142a566a36d77d540", "e1007c328f42b8a49eb51b2e158a1cba5e2212a9fc9099d09e036a8c32705f3c", "44574acb6773442793d04afa1eee6ea43010964f0aa6a03793084b422500249f")	
3	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(20,)]	97.56	1.98	37.65	44.87	44.87	71.33	34.56	67.31	22.72	43	22	10	6	93.598	85a7abf8b8d19516b6fed5c2db72eac4b4731185cdf8f549b755ee6394c9046c	91.06	1.13	31.13	44.02	44.02	69.83	34.31	67.02	19.94	31	16	10	5	42.966	a5908092fcfd36099b95e7c56c1686648bfb096c147724fcdc6b42c34ec8858a	97.56	1.98	37.65	44.87	44.87	71.33	34.56	67.31	22.72	43	22	10	6	43.915	85a7abf8b8d19516b6fed5c2db72eac4b4731185cdf8f549b755ee6394c9046c	91.06	1.13	31.13	44.02	44.02	69.83	34.31	67.02	19.94	31	16	10	5	42.91	a5908092fcfd36099b95e7c56c1686648bfb096c147724fcdc6b42c34ec8858a	99.67	3.45	47.98	49.35	49.35	72.05	35.17	67.7	27.35	0.0	5000.0	151720.0	0.0	0.01	0.08	0.19	0.19	0.01	0.0	0.0	0.01	0.0	0.0	3120.0	0.0	("5b8022af3b639cd1ec0a265da271a245316b3e0b61759a060d7dbc6d690b8a9c", "0cb5a517e37e061876fcc48d7ad4443c476ca9ecca5a8a72299f726220a5eff3", "c314150748b99aa66949e3318de448e0b46c7458e479e3e95cd8035c3b62d5f2", "87a1213566097722df7ccf03ee64d81c40386effe75e2075d026fbaaf29380ee", "3a158f73a6a9a2b1adddc311557d87d88a9a5e331aa273a4f80551757e76604b")	100.0	3.08	49.25	46.21	46.21	71.23	34.93	67.58	27.54	55.12	10000.0	302120.0	0.0	0.0	0.05	0.1	0.1	0.0	0.0	0.0	0.01	0.05	0.0	39120.0	1024.469	("bb9e7adc32091921972acef8535bfbda5895689d55a4608f8c68ccc48da9d51d", "776585cb84bd58f08e79e1e58fbd7383dce5a3dc55317159525ef2a2cf207923", "82d480ec2361ff91a86072dfd0e4f00b3cec692ca9b54850a9357ed1768c6346", "6853dc0610c5c4b1142a5f79dd5b1a3ec427d6fb0746ca2750fec292dd285533", "8dbe54939b1c7aca87f005cd07b45bd778b55b043dfce940c3b34579e673ed8b")	
4	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(20,)]	97.56	1.75	51.72	34.92	34.92	69.85	33.99	67.22	27.02	49	25	7	6	28.582	198750d7da461750fde2b03234920cd9dc01fb227ca19d882149ffa36964a7ec	90.24	1.8	56.38	34.61	34.61	69.83	33.92	67.25	28.25	37	19	7	5	12.604	13b7b83439f388b18d78572782839d2695a241c055a38cc5a5069242b8651be5	97.56	1.75	51.72	34.92	34.92	69.85	33.99	67.22	27.02	49	25	7	6	13.088	198750d7da461750fde2b03234920cd9dc01fb227ca19d882149ffa36964a7ec	90.24	1.8	56.38	34.61	34.61	69.83	33.92	67.25	28.25	37	19	7	5	12.584	13b7b83439f388b18d78572782839d2695a241c055a38cc5a5069242b8651be5	100.0	4.77	50.33	48.57	48.57	73.18	35.71	68.08	28.67	0.0	5000.0	154240.0	0.0	0.01	0.07	0.06	0.06	0.02	0.0	0.0	0.01	0.0	0.0	9480.0	0.0	("dc596cadabfbf015e2946921ad3ea2bf1444488330f3a418fa6a2535b5e22e0e", "b34aa739c3281f3e73de16348841c39dec05169e3bc83c58d1da5884295ada07", "b1e2e95232e804c85faad8c7a7a29b88b05121c305bcc301c4bd2c4cf61789f8", "2ad1005f9483b50ad8ee3fd8946a7bd10ae471f20b02b36d007e2c10616a7567", "f131927c8c927bbcbdb3e425d3f69939e4ff971c10be9645b1899f41c6046c23")	100.0	5.44	52.21	50.44	50.44	73.69	35.97	68.24	29.59	53.66	10000.0	310040.0	0.0	0.01	0.0	0.03	0.03	0.02	0.0	0.0	0.0	0.1	0.0	253880.0	1120.905	("71050f2e0434ca230f1f78630b009c47a337e42359c676f5a9d9d2d7b0ead506", "c4894e34421fa20c92294f4f7a695e3a721af91160163d1c6593b85796e0b821", "2811bc0121f1e6ddea803a7db647fbf882c401ab8a9ee7f61ec73048235db140", "91b07f8968fb22030520ed74dfddbfa1d5e3063656d31c373d34959dd3ed6380", "99461bc63f776c4443ad0d725ac5b3e974e7d552a83a70e2d3d228b5bf4c23fc")	
5	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(20,)]	100.0	1.46	43.06	39.3	39.3	68.96	34.13	67.12	24.61	53	27	11	9	111.09	a3d8a96886b434049785f058f414e7c807f016dd754a247745d028ec661a1a27	89.43	1.03	47.81	40.51	40.51	68.02	34.0	66.96	26.25	31	16	10	9	56.154	ee9bae742dfde7020e54ccaf2718598ddbfca32b404a3736c021b583be1a222b	100.0	1.46	43.06	39.3	39.3	68.96	34.13	67.12	24.61	53	27	11	9	56.268	a3d8a96886b434049785f058f414e7c807f016dd754a247745d028ec661a1a27	89.43	1.03	47.81	40.51	40.51	68.02	34.0	66.96	26.25	31	16	10	9	55.814	ee9bae742dfde7020e54ccaf2718598ddbfca32b404a3736c021b583be1a222b	99.67	4.91	49.26	47.58	47.58	73.34	35.76	68.13	28.3	0.0	5000.0	154720.0	0.01	0.01	0.04	0.14	0.14	0.0	0.0	0.0	0.01	0.0	0.0	42520.0	0.0	("88dfe881f3ea15a17cdf6168a467360577a2f5d11b5620798d49a94da015d20c", "2db72a2b0576192c8bcb892357f89b60e371747d26f0bf3b07c03bdd312831c4", "01f2bcfb496980f7919ba9f75198959b40d249df6a49d2c5d4cab558f9df4811", "81732b7ca9bffe3d2c39078f88921381746dd56eb755d9ac7959fe82e3ad5a86", "c5d56f5a8ad3d3a202c1ec2e28cee268f07a5c71a1d2e6cf85acd146a095da0c")	99.84	5.52	50.07	51.86	51.86	73.87	36.11	68.29	29.05	50.89	10000.0	309920.0	0.0	0.0	0.04	0.02	0.02	0.0	0.0	0.0	0.0	0.06	0.0	66920.0	1026.06	("9c554e73eaac8935764202582e54f94ecb200389a0cf52ea8529ae19a25de3c8", "bbfb2dc6e03a36020394fcad06aebb4839a1c188d02e226c5090f55a90e3a9bc", "13309c0596ec0d0ea5b252e508e580b38bea89502a1d08116cb19d6ed94dce61", "a781b12c0249d0493df7136fa9e1024dc5799bc8d58d240ef15eb2fa5554fbfe", "3538538ded2045020c08460602fe23f7375171987fb8aae7aa4283b8fad49226")	
